,keep an empty line between the city and county sections,,
City,State,"""Minimum Wage as of July 1, 2020""",Minimum Wage Poster/Rule Notice
Los Angeles,CA,$15.00 ,http://file.lacounty.gov/SDSInter/dca/243396_HonestWorkFairPayPosterEnglish.pdf
San Francisco,CA,$16.07 ,https://sfgov.org/olse/sites/default/files/minimum%20wage%20poster%202020%20copy.pdf
Chicago,IL,$14.00 ,https://www.chicago.gov/content/dam/city/depts/bacp/OSL/20200710mwandpslenglishletter.pdf
Minneapolis,MN,$13.25 ,http://minimumwage.minneapolismn.gov/
New York,NY,$15.00 ,https://www.labor.ny.gov/workerprotection/laborstandards/workprot/minwage.shtm
Seattle,WA,$16.39 ,http://www.seattle.gov/Documents/Departments/LaborStandards/OLS_MWmultiyearChart2020.pdf
,,,
County,State,"""Minimum Wage as of July 1, 2020""",Minimum Wage Poster/Rule Notice
Montgomery,MD,$14.00 ,https://www.dllr.state.md.us/labor/wages/minimumwagelawmont.pdf
Prince George,MD,$11.50 ,https://www.dllr.state.md.us/labor/wages/minimumwagelawpg.pdf
Long Island&Westchester,NY,$13.00 ,https://www.labor.ny.gov/workerprotection/laborstandards/workprot/minwage.shtm
Cook,IL,$13.00 ,https://www2.illinois.gov/idol/News/Documents/IDOL%20Minimum%20Wage%20062620Increase.pdf#search=cook%20county%20minimum%20wage
Portland Metro,OR,$13.25 ,https://www.oregon.gov/boli/employers/Documents/BOLI_MinWage.pdf
Non-Urban Counties,OR,$11.50 ,https://www.oregon.gov/boli/employers/Documents/BOLI_MinWage.pdf